Length(mm),B.n(Tesla)
0.00000000e+000,3.27152399e-001
1.86791194e-002,3.27050407e-001
3.73582388e-002,3.26948411e-001
5.60373582e-002,3.26846416e-001
7.47164777e-002,3.26824321e-001
9.33955971e-002,3.26822792e-001
1.12074716e-001,3.26821263e-001
1.30753836e-001,3.26820380e-001
1.49432955e-001,3.26823820e-001
1.68112075e-001,3.26866734e-001
1.86791194e-001,3.26925287e-001
2.05470314e-001,3.26983840e-001
2.24149433e-001,3.27042394e-001
2.42828552e-001,3.27100947e-001
2.61507672e-001,3.27159501e-001
2.80186791e-001,3.27201369e-001
2.98865911e-001,3.27188920e-001
3.17545030e-001,3.27174585e-001
3.36224149e-001,3.27124601e-001
3.54903269e-001,3.27074616e-001
3.73582388e-001,3.27024632e-001
3.92261508e-001,3.26974647e-001
4.10940627e-001,3.26924663e-001
4.29619746e-001,3.26874678e-001
4.48298866e-001,3.26824694e-001
4.66977985e-001,3.26774710e-001
4.85657105e-001,3.26724725e-001
5.04336224e-001,3.26674741e-001
5.23015344e-001,3.26624756e-001
5.41694463e-001,3.26574772e-001
5.60373582e-001,3.26561883e-001
5.79052702e-001,3.26634154e-001
5.97731821e-001,3.26706425e-001
6.16410941e-001,3.26778696e-001
6.35090060e-001,3.26850967e-001
6.53769179e-001,3.26923237e-001
6.72448299e-001,3.26995508e-001
6.91127418e-001,3.27067779e-001
7.09806538e-001,3.27140050e-001
7.28485657e-001,3.27212320e-001
7.47164777e-001,3.27284591e-001
7.65843896e-001,3.27356862e-001
7.84523015e-001,3.27428564e-001
8.03202135e-001,3.27499247e-001
8.21881254e-001,3.27569930e-001
8.40560374e-001,3.27652322e-001
8.59239493e-001,3.27772507e-001
8.77918612e-001,3.27892692e-001
8.96597732e-001,3.28012878e-001
9.15276851e-001,3.28133063e-001
9.33955971e-001,3.28253248e-001
9.52635090e-001,3.28373434e-001
9.71314209e-001,3.28493619e-001
9.89993329e-001,3.28613804e-001
1.00867245e+000,3.28733990e-001
1.02735157e+000,3.28854175e-001
1.04603069e+000,3.28974360e-001
1.06470981e+000,3.29094546e-001
1.08338893e+000,3.29214731e-001
1.10206805e+000,3.29334916e-001
1.12074716e+000,3.29455102e-001
1.13942628e+000,3.29575287e-001
1.15810540e+000,3.29695472e-001
1.17678452e+000,3.29815658e-001
1.19546364e+000,3.29935843e-001
1.21414276e+000,3.30056028e-001
1.23282188e+000,3.30172804e-001
1.25150100e+000,3.30286842e-001
1.27018012e+000,3.30400880e-001
1.28885924e+000,3.30514919e-001
1.30753836e+000,3.30628957e-001
1.32621748e+000,3.30742995e-001
1.34489660e+000,3.30857033e-001
1.36357572e+000,3.30971071e-001
1.38225484e+000,3.31085110e-001
1.40093396e+000,3.31199148e-001
1.41961308e+000,3.31313186e-001
1.43829219e+000,3.31427224e-001
1.45697131e+000,3.31541262e-001
1.47565043e+000,3.31655300e-001
1.49432955e+000,3.31747883e-001
1.51300867e+000,3.31836788e-001
1.53168779e+000,3.31925692e-001
1.55036691e+000,3.32014597e-001
1.56904603e+000,3.32103501e-001
1.58772515e+000,3.32192406e-001
1.60640427e+000,3.32281310e-001
1.62508339e+000,3.32370215e-001
1.64376251e+000,3.32459120e-001
1.66244163e+000,3.32548024e-001
1.68112075e+000,3.32636929e-001
1.69979987e+000,3.32725833e-001
1.71847899e+000,3.32814738e-001
1.73715811e+000,3.32903642e-001
1.75583722e+000,3.32992547e-001
1.77451634e+000,3.33081451e-001
1.79319546e+000,3.33170356e-001
1.81187458e+000,3.33259260e-001
1.83055370e+000,3.33348165e-001
1.84923282e+000,3.33437070e-001
1.86791194e+000,3.33525974e-001
1.88659106e+000,3.33614879e-001
1.90527018e+000,3.33703783e-001
1.92394930e+000,3.33792688e-001
1.94262842e+000,3.33881592e-001
1.96130754e+000,3.33970497e-001
1.97998666e+000,3.34059401e-001
1.99866578e+000,3.34148306e-001
2.01734490e+000,3.34310727e-001
2.03602402e+000,3.34504285e-001
2.05470314e+000,3.34697842e-001
2.07338225e+000,3.34891399e-001
2.09206137e+000,3.35084957e-001
2.11074049e+000,3.35278514e-001
2.12941961e+000,3.35472071e-001
2.14809873e+000,3.35665629e-001
2.16677785e+000,3.35859186e-001
2.18545697e+000,3.36052743e-001
2.20413609e+000,3.36246301e-001
2.22281521e+000,3.36439858e-001
2.24149433e+000,3.36633416e-001
2.26017345e+000,3.36826973e-001
2.27885257e+000,3.37020530e-001
2.29753169e+000,3.37082866e-001
2.31621081e+000,3.37132191e-001
2.33488993e+000,3.37181516e-001
2.35356905e+000,3.37230841e-001
2.37224817e+000,3.37280166e-001
2.39092728e+000,3.37329491e-001
2.40960640e+000,3.37378816e-001
2.42828552e+000,3.37428141e-001
2.44696464e+000,3.37477466e-001
2.46564376e+000,3.37526791e-001
2.48432288e+000,3.37576116e-001
2.50300200e+000,3.37625441e-001
2.52168112e+000,3.37674767e-001
2.54036024e+000,3.37724092e-001
2.55903936e+000,3.37773417e-001
2.57771848e+000,3.37822742e-001
2.59639760e+000,3.37872067e-001
2.61507672e+000,3.37921392e-001
2.63375584e+000,3.37970717e-001
2.65243496e+000,3.38020042e-001
2.67111408e+000,3.38069367e-001
2.68979320e+000,3.38118692e-001
2.70847231e+000,3.38168017e-001
2.72715143e+000,3.38217342e-001
2.74583055e+000,3.38266667e-001
2.76450967e+000,3.38315992e-001
2.78318879e+000,3.38365317e-001
2.80186791e+000,3.38414643e-001
2.82054703e+000,3.38463968e-001
2.83922615e+000,3.38513293e-001
2.85790527e+000,3.38562618e-001
2.87658439e+000,3.38611943e-001
2.89526351e+000,3.38661268e-001
2.91394263e+000,3.38710593e-001
2.93262175e+000,3.38759918e-001
2.95130087e+000,3.38809243e-001
2.96997999e+000,3.38858568e-001
2.98865911e+000,3.38907893e-001
3.00733823e+000,3.38957218e-001
3.02601734e+000,3.39006543e-001
3.04469646e+000,3.39055868e-001
3.06337558e+000,3.39105193e-001
3.08205470e+000,3.39154519e-001
3.10073382e+000,3.39203844e-001
3.11941294e+000,3.39253169e-001
3.13809206e+000,3.39383488e-001
3.15677118e+000,3.39682850e-001
3.17545030e+000,3.39982211e-001
3.19412942e+000,3.40281573e-001
3.21280854e+000,3.40580934e-001
3.23148766e+000,3.40880296e-001
3.25016678e+000,3.41179657e-001
3.26884590e+000,3.41479019e-001
3.28752502e+000,3.41778381e-001
3.30620414e+000,3.42077742e-001
3.32488326e+000,3.42377104e-001
3.34356237e+000,3.42676465e-001
3.36224149e+000,3.42975827e-001
3.38092061e+000,3.43275188e-001
3.39959973e+000,3.43574550e-001
3.41827885e+000,3.43873911e-001
3.43695797e+000,3.44170930e-001
3.45563709e+000,3.44423913e-001
3.47431621e+000,3.44676896e-001
3.49299533e+000,3.44929879e-001
3.51167445e+000,3.45182862e-001
3.53035357e+000,3.45435845e-001
3.54903269e+000,3.45688828e-001
3.56771181e+000,3.45941811e-001
3.58639093e+000,3.46194794e-001
3.60507005e+000,3.46447777e-001
3.62374917e+000,3.46700760e-001
3.64242829e+000,3.46953743e-001
3.66110740e+000,3.47206726e-001
3.67978652e+000,3.47459709e-001
3.69846564e+000,3.47712693e-001
3.71714476e+000,3.47965676e-001
3.73582388e+000,3.48218659e-001
3.75450300e+000,3.48471642e-001
3.77318212e+000,3.48724625e-001
3.79186124e+000,3.48977608e-001
3.81054036e+000,3.49230591e-001
3.82921948e+000,3.49483574e-001
3.84789860e+000,3.49736557e-001
3.86657772e+000,3.49989540e-001
3.88525684e+000,3.50242523e-001
3.90393596e+000,3.50495506e-001
3.92261508e+000,3.50748489e-001
3.94129420e+000,3.51001472e-001
3.95997332e+000,3.51254455e-001
3.97865243e+000,3.51507439e-001
3.99733155e+000,3.51760422e-001
4.01601067e+000,3.52024226e-001
4.03468979e+000,3.52410505e-001
4.05336891e+000,3.52796783e-001
4.07204803e+000,3.53183062e-001
4.09072715e+000,3.53569341e-001
4.10940627e+000,3.53955620e-001
4.12808539e+000,3.54341899e-001
4.14676451e+000,3.54728178e-001
4.16544363e+000,3.55114457e-001
4.18412275e+000,3.55500736e-001
4.20280187e+000,3.55887015e-001
4.22148099e+000,3.56273294e-001
4.24016011e+000,3.56659572e-001
4.25883923e+000,3.57045851e-001
4.27751835e+000,3.57432130e-001
4.29619746e+000,3.57818409e-001
4.31487658e+000,3.58204688e-001
4.33355570e+000,3.58590967e-001
4.35223482e+000,3.58977246e-001
4.37091394e+000,3.59363525e-001
4.38959306e+000,3.59749804e-001
4.40827218e+000,3.60136083e-001
4.42695130e+000,3.60304730e-001
4.44563042e+000,3.60263148e-001
4.46430954e+000,3.60221567e-001
4.48298866e+000,3.60179985e-001
4.50166778e+000,3.60138404e-001
4.52034690e+000,3.60096822e-001
4.53902602e+000,3.60055241e-001
4.55770514e+000,3.60013659e-001
4.57638426e+000,3.59972078e-001
4.59506338e+000,3.59930496e-001
4.61374249e+000,3.59888914e-001
4.63242161e+000,3.59847333e-001
4.65110073e+000,3.59805751e-001
4.66977985e+000,3.59764170e-001
4.68845897e+000,3.59722588e-001
4.70713809e+000,3.59681007e-001
4.72581721e+000,3.59639425e-001
4.74449633e+000,3.59597844e-001
4.76317545e+000,3.59556262e-001
4.78185457e+000,3.59514681e-001
4.80053369e+000,3.59473099e-001
4.81921281e+000,3.59431517e-001
4.83789193e+000,3.59389936e-001
4.85657105e+000,3.59348354e-001
4.87525017e+000,3.59306773e-001
4.89392929e+000,3.59265191e-001
4.91260841e+000,3.59223610e-001
4.93128753e+000,3.59182028e-001
4.94996664e+000,3.59140447e-001
4.96864576e+000,3.59098865e-001
4.98732488e+000,3.59057284e-001
5.00600400e+000,3.59015702e-001
5.02468312e+000,3.58974120e-001
5.04336224e+000,3.58932539e-001
5.06204136e+000,3.58890957e-001
5.08072048e+000,3.58849376e-001
5.09939960e+000,3.58807794e-001
5.11807872e+000,3.58766213e-001
5.13675784e+000,3.59088445e-001
5.15543696e+000,3.59549690e-001
5.17411608e+000,3.59976615e-001
5.19279520e+000,3.60017632e-001
5.21147432e+000,3.60058649e-001
5.23015344e+000,3.60099666e-001
5.24883256e+000,3.60140683e-001
5.26751167e+000,3.60181700e-001
5.28619079e+000,3.60222717e-001
5.30486991e+000,3.60263734e-001
5.32354903e+000,3.60304751e-001
5.34222815e+000,3.60345768e-001
5.36090727e+000,3.60386785e-001
5.37958639e+000,3.60427757e-001
5.39826551e+000,3.60468527e-001
5.41694463e+000,3.60509296e-001
5.43562375e+000,3.60550066e-001
5.45430287e+000,3.60590835e-001
5.47298199e+000,3.60631605e-001
5.49166111e+000,3.60672375e-001
5.51034023e+000,3.60713144e-001
5.52901935e+000,3.60753914e-001
5.54769847e+000,3.60794683e-001
5.56637759e+000,3.60835453e-001
5.58505670e+000,3.60876223e-001
5.60373582e+000,3.60916992e-001
5.62241494e+000,3.60957762e-001
5.64109406e+000,3.60998531e-001
5.65977318e+000,3.61039301e-001
5.67845230e+000,3.61080071e-001
5.69713142e+000,3.61120840e-001
5.71581054e+000,3.61161610e-001
5.73448966e+000,3.61202379e-001
5.75316878e+000,3.61243149e-001
5.77184790e+000,3.61283918e-001
5.79052702e+000,3.61324688e-001
5.80920614e+000,3.61365458e-001
5.82788526e+000,3.61406227e-001
5.84656438e+000,3.60935474e-001
5.86524350e+000,3.60185796e-001
5.88392262e+000,3.59436118e-001
5.90260173e+000,3.58686440e-001
5.92128085e+000,3.57936762e-001
5.93995997e+000,3.57187085e-001
5.95863909e+000,3.56437407e-001
5.97731821e+000,3.55687729e-001
5.99599733e+000,3.55008006e-001
6.01467645e+000,3.54599569e-001
6.03335557e+000,3.54191131e-001
6.05203469e+000,3.53782693e-001
6.07071381e+000,3.53374255e-001
6.08939293e+000,3.52965817e-001
6.10807205e+000,3.52557380e-001
6.12675117e+000,3.52148942e-001
6.14543029e+000,3.51740504e-001
6.16410941e+000,3.51332066e-001
6.18278853e+000,3.50923628e-001
6.20146765e+000,3.50515191e-001
6.22014676e+000,3.50106753e-001
6.23882588e+000,3.49698315e-001
6.25750500e+000,3.49289877e-001
6.27618412e+000,3.48881439e-001
6.29486324e+000,3.48473001e-001
6.31354236e+000,3.48064564e-001
6.33222148e+000,3.47656126e-001
6.35090060e+000,3.47247688e-001
6.36957972e+000,3.46839250e-001
6.38825884e+000,3.46435112e-001
6.40693796e+000,3.46155699e-001
6.42561708e+000,3.45876286e-001
6.44429620e+000,3.45596872e-001
6.46297532e+000,3.45317459e-001
6.48165444e+000,3.45038046e-001
6.50033356e+000,3.44758633e-001
6.51901268e+000,3.44479220e-001
6.53769179e+000,3.44199807e-001
6.55637091e+000,3.42253188e-001
6.57505003e+000,3.39841201e-001
6.59372915e+000,3.37429214e-001
6.61240827e+000,3.35017226e-001
6.63108739e+000,3.32605239e-001
6.64976651e+000,3.30193252e-001
6.66844563e+000,3.27781265e-001
6.68712475e+000,3.25369277e-001
6.70580387e+000,3.22957290e-001
6.72448299e+000,3.20545303e-001
6.74316211e+000,3.18133316e-001
6.76184123e+000,3.15721328e-001
6.78052035e+000,3.13309341e-001
6.79919947e+000,3.10897354e-001
6.81787859e+000,3.08485366e-001
6.83655771e+000,3.06073379e-001
6.85523682e+000,3.03661392e-001
6.87391594e+000,3.01169018e-001
6.89259506e+000,2.98150528e-001
6.91127418e+000,2.95132038e-001
6.92995330e+000,2.92113548e-001
6.94863242e+000,2.89095057e-001
6.96731154e+000,2.86076567e-001
6.98599066e+000,2.83058077e-001
7.00466978e+000,2.80039587e-001
7.02334890e+000,2.77021097e-001
7.04202802e+000,2.74002607e-001
7.06070714e+000,2.70984116e-001
7.07938626e+000,2.67965626e-001
7.09806538e+000,2.64947136e-001
7.11674450e+000,2.61928646e-001
7.13542362e+000,2.58910156e-001
7.15410274e+000,2.55891666e-001
7.17278185e+000,2.52873175e-001
7.19146097e+000,2.49854685e-001
7.21014009e+000,2.46836195e-001
7.22881921e+000,2.43817705e-001
7.24749833e+000,2.40799215e-001
7.26617745e+000,2.37780724e-001
7.28485657e+000,2.34762234e-001
7.30353569e+000,2.31743744e-001
7.32221481e+000,2.27802121e-001
7.34089393e+000,2.22511768e-001
7.35957305e+000,2.17221415e-001
7.37825217e+000,2.11931061e-001
7.39693129e+000,2.06640708e-001
7.41561041e+000,1.98098256e-001
7.43428953e+000,1.85794303e-001
7.45296865e+000,1.73490351e-001
7.47164777e+000,1.61186399e-001
7.49032688e+000,1.51682351e-001
7.50900600e+000,1.44153555e-001
7.52768512e+000,1.36624759e-001
7.54636424e+000,1.29095963e-001
7.56504336e+000,1.21567167e-001
7.58372248e+000,1.14038371e-001
7.60240160e+000,1.06509575e-001
7.62108072e+000,9.87428390e-002
7.63975984e+000,9.09370863e-002
7.65843896e+000,8.31313336e-002
7.67711808e+000,7.83141775e-002
7.69579720e+000,7.36173411e-002
7.71447632e+000,6.89205046e-002
7.73315544e+000,6.42236681e-002
7.75183456e+000,5.95268317e-002
7.77051368e+000,5.48299952e-002
7.78919280e+000,5.01331587e-002
7.80787191e+000,4.54363223e-002
7.82655103e+000,4.07394858e-002
7.84523015e+000,3.63347241e-002
7.86390927e+000,3.19612735e-002
7.88258839e+000,2.75878228e-002
7.90126751e+000,2.32143721e-002
7.91994663e+000,1.88409214e-002
7.93862575e+000,1.44674707e-002
7.95730487e+000,1.00940200e-002
7.97598399e+000,5.72056932e-003
7.99466311e+000,1.70598521e-003
8.01334223e+000,-8.48588565e-005
8.03202135e+000,-1.87570292e-003
8.05070047e+000,-3.66654698e-003
8.06937959e+000,-5.45739104e-003
8.08805871e+000,-7.24823510e-003
8.10673783e+000,-9.03907917e-003
8.12541694e+000,-1.08299232e-002
8.14409606e+000,-1.26207673e-002
8.16277518e+000,-1.44116114e-002
8.18145430e+000,-1.62024554e-002
8.20013342e+000,-1.79932995e-002
8.21881254e+000,-1.97841435e-002
8.23749166e+000,-2.15749876e-002
8.25617078e+000,-2.33658317e-002
8.27484990e+000,-2.51566757e-002
8.29352902e+000,-2.67616883e-002
8.31220814e+000,-2.78003491e-002
8.33088726e+000,-2.88421570e-002
8.34956638e+000,-3.06810496e-002
8.36824550e+000,-3.25199422e-002
8.38692462e+000,-3.43588347e-002
8.40560374e+000,-3.61977273e-002
8.42428286e+000,-3.80366198e-002
8.44296197e+000,-3.98755124e-002
8.46164109e+000,-4.17144049e-002
8.48032021e+000,-4.35532975e-002
8.49899933e+000,-4.53921901e-002
8.51767845e+000,-4.72310826e-002
8.53635757e+000,-4.90699752e-002
8.55503669e+000,-5.09088677e-002
8.57371581e+000,-5.19914833e-002
8.59239493e+000,-5.29563544e-002
8.61107405e+000,-5.39212255e-002
8.62975317e+000,-5.48860966e-002
8.64843229e+000,-5.58509677e-002
8.66711141e+000,-5.68158388e-002
8.68579053e+000,-5.77807099e-002
8.70446965e+000,-5.87455810e-002
8.72314877e+000,-5.97104522e-002
8.74182789e+000,-6.06753233e-002
8.76050700e+000,-6.16401944e-002
8.77918612e+000,-6.26050655e-002
8.79786524e+000,-6.35699366e-002
8.81654436e+000,-6.45348077e-002
8.83522348e+000,-6.51851926e-002
8.85390260e+000,-6.55607485e-002
8.87258172e+000,-6.59363045e-002
8.89126084e+000,-6.63118604e-002
8.90993996e+000,-6.66874163e-002
8.92861908e+000,-6.70629723e-002
8.94729820e+000,-6.74385282e-002
8.96597732e+000,-6.77812945e-002
8.98465644e+000,-6.73941237e-002
9.00333556e+000,-6.70069530e-002
9.02201468e+000,-6.66197822e-002
9.04069380e+000,-6.62326115e-002
9.05937292e+000,-6.58454407e-002
9.07805203e+000,-6.54582699e-002
9.09673115e+000,-6.50710992e-002
9.11541027e+000,-6.46839284e-002
9.13408939e+000,-6.42967577e-002
9.15276851e+000,-6.39095869e-002
9.17144763e+000,-6.35224161e-002
9.19012675e+000,-6.35475397e-002
9.20880587e+000,-6.36026787e-002
